described	describite
user interface	interfacie del usatores
Instant Start guide	Guida de initio instantanee
contact	continge
you	tu
web	web
wish	vole
been	essite
localized	localisate
localizations	localisationes
user interface	interfacie del usatores
finally	al fin
there is	il ha
Beginner's Tutorial	Parve instruction del novicio
unpack	dispacchetta
ready-to-use	preste a usar
will enhance	meliorara
will pass	passara
development team	equipa de disveloppamento
upload	carga
co-ordinator	co-ordinator
deliver	committer
forget	oblidar
discontinue	discontinua
completing	completar
translation memory repository	repositorio de memorias de traduction
create	crea
credited	accreditate
holder	detentor
utilize	utilisar
rudimentary	rudimentari
describing	description
intended	destinate
plain text	texto simple
Download Selector	Selector del discargamentos
know	sape
overview	panorama
efficient	efficiente
years	annos
in the early	in le prime
days	dies
ease of use	facilitate de uso
uncluttered	accurate
most importantly	super toto
regular	regular
feel	senti
modify	modificar
below	plus avante
would be	esserea
authoring	creation
task	labor
ongoing task	labor in curso
deficiencies	deficientias
would like	amarea
express	exprimer
you're	tu es
get started	initiar
buzzword	termino de moda
continuing	continuar
freely	liberemente
ultimately	definitivemente
termed	denominate
implemented	implementate
developments	disveloppamentos
commissioned	commissionate
merging	miscer
whilst	durante
you need	il necesse
you need	il es necesse
Microsoft Azure Marketplace	Microsoft Azure Marketplace
register	registra
was	era
integrated	integrate
are using	usa
have been using	usava
upgraded	promovite
refresh	renovation
tabs	schedas
browser	navigator web
edit	modifica
plain-text	texto-simple
Machine Translate	Traduction automatic
Microsoft Translator	Microsoft Translator
check if	verifica si
values	valores
reach	attinge
locate	trova
irrelevant	irrelevante
define	definir
out-of-turn	foras-torno
subsegments	sub segmentos
subsegments	sub-segmentos
footnotes	notas al pede del pagina
much	plure
display	schermo
fairly	assatis
one-to-many	uno-a-plures
making	render
instances	instantias
require	require
outputs	emitte
default	predisposition initial
default	base
default behaviour	comportamento base
following	successive
relies	conta
propagated	propagate
checklist	lista de controlo
troubleshooting	chassa al defecto
appear	appare
operating system	systema operative
depending upon	secundo
slightly	levemente
dragging	trahente
further	ultra
home	a casa
remove	remove
Alt+Backspace	Alt+Spatio retro
Ctrl+Delete	Ctrl+Canc
Ctrl+Enter	Ctrl+Enter
contextual	contextual
Backspace	Spatio retro
include	include
will launch	lanceara
gigas	GB
major	major
realize	percipe
final	final
drop down menu	menu a tenta cadente
changing	cambiar
render	render
stemming	recerca del radices
auto-completion	auto-completamento
processing	processo
unimpeded	sin impedimentos
performed	exequite
checked-out	discargate
makes sure	se assecura
SVN server	servitor de SVN
site	sito
time	vice
user name	nomine de usator
type	insere
will bring up to date	actualisara
will appear	apparera
perform	effectuar
unnecessarily	inutilemente
need	debe
customizable	personalisabile
highly	multo
configure	configurar
enabling	que habilita
PDF files	files PDF
reused	reusate
thus	tunc
sponsorship	financiamento
uncleaned RTF	RTF non mundate
uncleaned RTF format	formato RTF non mundate
file filter	filtro de file
platforms	platteformas
bit	bit
source file	file fonte
Tagwipe	Tagwipe
reloading	recargamento del
opening	apertura del
input	entrata
input file	file de entrata
output	egresso
cleaning	dismaculatura
moving	Displaciamento  del
beautify	adornar
convert	converter
backup	reservar
resulting	resultante
current	actual
